tipo_imovel,logradouro,bairro,numero,metragem,quartos,vaga,preco_total,longitude,latitude,ruas,latitude_utm,longitude_utm
apartamento,Guilherme Bannitz,Vila Olímpia,83,101,2,1,,-46.673744,-23.5891367,guilherme bannitz,7390262.06,329208.97
apartamento,Haddock Lobo,Bela Vista,21,345,3,2,2800000.0,-46.6602297,-23.5567643,haddock lobo,7393863.03,330546.69
apartamento,Humberto I,Vila Mariana,32,97,3,1,,-46.6422742,-23.5848145,humberto i,7390777.9,332415.3
apartamento,Paes de Barros,Mooca,141,126,3,1,545000.0,-46.5914776,-23.5669302,paes de barros,7392816.91,337577.72
apartamento,Diogo Vaz,Liberdade,112,72,3,1,490000.0,-46.6268972,-23.5624503,diogo vaz,7393272.4,333956.6
apartamento,Lussanvira,Jabaquara,23,64,2,1,500000.0,-46.6382798,-23.6434259,lussanvira,7384291.99,332897.35
apartamento,Taquacetuba,Jabaquara,43,52,2,1,265000.0,-46.6496,-23.65138,taquacetuba,7383397.86,331752.66
apartamento,Sapucaia,Mooca,123,69,2,1,430000.0,-46.5898015,-23.5540741,sapucaia,7394242.45,337733.02
apartamento,Morais de Barros,Campo Belo,23,62,2,1,778700.0,-46.6720301,-23.6162401,morais de barros,7387262.66,329418.97
apartamento,Conde de Porto Alegre,Campo Belo,62,233,3,4,3100000.0,-46.6751668,-23.6241529,conde de porto alegre,7386382.65,329109.17
apartamento,Fernão Cardim,Jardim Paulista,111,270,3,4,,-46.6538051,-23.5684521,fernao cardim,7392576.32,331217.49
apartamento,Venâncio Ayres,Perdizes,74,102,2,1,750000.0,-46.6816933,-23.5282615,venancio ayres,7396993.89,328318.54
apartamento,Tabatinguera,Sé,520,22,1,0,150000.0,-46.6284392,-23.5522912,tabatinguera,7394395.61,333786.41
apartamento,Pintassilgo,Moema Pássaros,84,58,1,1,745000.0,-46.6725716,-23.6026372,pintassilgo,7388768.41,329346.1
apartamento,José de Oliveira Coelho,Vila Andrade,11,160,2,3,910000.0,-46.739024,-23.6272396,jose de oliveira coelho,7385963.0,322597.64
apartamento,Consolação,Jardim América,103,95,2,1,860000.0,-46.6645418,-23.5573903,consolacao,7393788.6,330107.29
apartamento,Mooca,Cambuci,68,58,2,0,270000.0,-46.622022,-23.5536576,mooca,7394251.72,334443.24
apartamento,Pedro Pomponazzi,Chacara Klabin,51,123,3,2,1300000.0,-46.629506,-23.590041,pedro pomponazzi,7390214.02,333725.05
apartamento,São Caetano,Brás,82,57,2,0,320000.0,-46.6242451,-23.5358111,sao caetano,7396225.44,334193.9
apartamento,Zacarias de Gois,Campo Belo,24,74,1,1,900000.0,-46.6747968,-23.6263111,zacarias de gois,7386144.09,329149.72
