tipo_imovel,logradouro,bairro,numero,metragem,quartos,vaga,preco_total,longitude,latitude,ruas,latitude_utm,longitude_utm,lugares_alimentacao,lugares_servicos,outros,lugares_comercio,lugares_cultura,lugares_saude,lugares_educacao,lugares_religiosos,lugares_parques,lugares_estadios,lugares_turismo,lugares_metro_trem,lugares_transporte
apartamento,José Maria Lisboa,Jardim América,23,117,2,2,1310000.0,-46.6603051,-23.565817199999998,jose maria lisboa,7392860.43,330550.61,366.0,239.0,16.0,369.0,403.0,184.0,91.0,29.0,166.0,0.0,188.0,171.0,0.0
apartamento,Dois de Julho,Ipiranga,81,118,3,2,945000.0,-46.603801000000004,-23.5962255,dois de julho,7389558.79,336356.14,11.0,23.0,0.0,3.0,83.0,5.0,17.0,11.0,1.0,0.0,0.0,73.0,4.0
apartamento,Jandira,Moema Índios,211,120,3,2,1230000.0,-46.662856899999994,-23.606188500000002,jandira,7388386.7,330342.06,131.0,69.0,0.0,79.0,16.0,83.0,0.0,87.0,12.0,0.0,1.0,141.0,0.0
apartamento,Capitães Mores,Mooca,62,87,3,2,630000.0,-46.5957,-23.5568768,capitaes mores,7393925.4,337134.32,30.0,21.0,0.0,5.0,5.0,29.0,23.0,22.0,11.0,77.0,159.0,0.0,0.0
apartamento,Frei Caneca,Bela Vista,63,59,1,1,498000.0,-46.6503856,-23.5521867,frei caneca,7394381.56,331545.8,461.0,137.0,95.0,232.0,300.0,167.0,353.0,117.0,225.0,0.0,724.0,166.0,96.0
apartamento,Catumbi,Belém,102,65,2,1,465000.0,-46.602312100000006,-23.5289017,catumbi,7397015.75,336424.72,5.0,6.0,0.0,4.0,22.0,3.0,25.0,27.0,8.0,0.0,0.0,0.0,0.0
apartamento,Frederico Guarinon,Vila Andrade,71,220,4,2,480000.0,-46.731871500000004,-23.625825199999998,frederico guarinon,7386128.49,323325.54,32.0,35.0,2.0,60.0,1.0,17.0,18.0,13.0,45.0,0.0,0.0,0.0,0.0
apartamento,Minas Gerais,Higienópolis,13,101,2,0,660000.0,-46.665102000000005,-23.555355,minas gerais,7394013.33,330047.49,253.0,64.0,11.0,137.0,291.0,98.0,93.0,42.0,160.0,84.0,285.0,380.0,0.0
apartamento,Soror Angélica,Casa Verde,14,49,2,0,360000.0,-46.643190399999995,-23.503875100000002,soror angelica,7399739.95,332219.08,17.0,11.0,0.0,13.0,7.0,3.0,0.0,15.0,24.0,0.0,0.0,0.0,0.0
apartamento,Cupecê,Cidade Ademar,103,55,2,1,270000.0,-46.6668621,-23.6583284,cupece,7382607.93,330000.69,12.0,15.0,1.0,10.0,1.0,5.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0
apartamento,Elba,Sacomã,12,145,3,2,839402.0,-46.6020406,-23.608076999999998,elba,7388248.39,336550.49,2.0,9.0,0.0,3.0,0.0,2.0,0.0,22.0,2.0,0.0,0.0,64.0,0.0
apartamento,Brigadeiro Luís Antônio,República,23,65,2,0,530000.0,-46.6387531,-23.5544701,brigadeiro luis antonio,7394142.32,332736.24,310.0,140.0,42.0,187.0,585.0,16.0,310.0,165.0,102.0,1.0,924.0,425.0,0.0
apartamento,Capitão Macedo,Vila Mariana,143,84,3,2,0.0,-46.641307700000006,-23.5934859,capitao macedo,7389818.77,332524.96,93.0,68.0,3.0,38.0,182.0,77.0,181.0,86.0,38.0,0.0,0.0,295.0,17.0
