id_site,type,type,area,bedrooms,suits,parkingSpots,floor,complexFee,propertyTax,price,amenities,currentPhase,lat,lng,city,number,postalCode,streetName,streetType,unitNumber,neighborhood
11m5g7k,apartment,apartment,327,4,2,4,12,4800,2112.69,2800000,"['gym', 'gourmet', 'pool', 'party_room', 'green_area']",ready_to_move,-23.59286760,-46.62465890,São Paulo,310,04116-170,Ernesto de Oliveira,Rua,121,Chacara Klabin
11mwyal,apartment,apartment,214,3,1,1,14,2293,732.89,1705000,"['gourmet', 'party_room', 'green_area']",ready_to_move,-23.57112060,-46.64476630,São Paulo,21,01311-000,Paulista,Avenida,141,Paraíso
11n00fn,apartment,apartment,56,2,1,0,1,1150,120,730000,[],ready_to_move,-22.95627315,-43.18848633,Rio de Janeiro,736,22271-110,Sorocaba,Rua,103,Botafogo
11n9vy5,apartment,apartment,156,3,0,1,6,820,346.95,990000,"['gym', 'kids', 'pool', 'heated_pool', 'playground', 'sports_court', 'party_room', 'play_game', 'green_area']",ready_to_move,-23.54267200,-46.67762900,São Paulo,109,01252-010,André Dreyfus,Rua,62,Sumaré
11nuokd,apartment,apartment,123,3,1,1,6,1700,390.98,,"['party_room', 'green_area']",ready_to_move,-23.56991030,-46.65699140,São Paulo,1085,01404-001,Campinas,Alameda,62,Jardim Paulista
11ph326,apartment,apartment,20,1,0,0,6,465,0,380000,[],ready_to_move,-22.94493000,-43.18244000,Rio de Janeiro,316,,Botafogo,Praia,615,Botafogo
11rx10t,apartment,apartment,71,1,1,1,9,1000,17.57,,['party_room'],ready_to_move,-23.57831910,-46.65092430,São Paulo,839,04007-004,Tutóia,Rua,95,Paraíso
11s8tfa,apartment,apartment,72,3,0,1,6,840,69.65,510000,"['gourmet', 'pool', 'sports_court', 'party_room', 'play_game']",ready_to_move,-23.61617510,-46.63515510,São Paulo,465,04143-010,Itapiru,Rua,62,Saúde
11shl0k,apartment,apartment,42,1,1,1,8,717,118.16,,"['gym', 'grill', 'gourmet', 'pool', 'party_room', 'green_area']",ready_to_move,-23.56144100,-46.68790300,São Paulo,1720,05408-002,Cardeal Arcoverde,Rua,82,Pinheiros
11to4z6,apartment,apartment,100,3,1,2,18,700,273.38,900000,"['gym', 'gourmet', 'heated_pool', 'playground', 'sports_court', 'party_room', 'play_game', 'green_area']",ready_to_move,-23.54844830,-46.59464880,São Paulo,970,03166-001,Taquari,Rua,184,Mooca
11va2rb,apartment,apartment,78,2,1,2,10,990,224.04,640000,"['gym', 'pool', 'playground', 'sports_court', 'party_room', 'play_game', 'green_area']",ready_to_move,-23.65121460,-46.66832750,São Paulo,82,04369-000,Contos Gauchescos,Rua,103,Jabaquara
11vifpc,apartment,apartment,278,4,4,4,16,3254,2156.14,3750000,"['pool', 'playground', 'party_room', 'condoPowerGenerator']",ready_to_move,-23.54752620,-46.69430040,São Paulo,315,05441-040,Francisco Isoldi,Rua,161,Vila Madalena
11vx80,apartment,apartment,99,2,0,0,10,900,165.28,900000,[],ready_to_move,-23.57089660,-46.65398550,São Paulo,118,01423-040,Saint Hilaire,Rua,104,Jardim Paulista
11w3l19,apartment,apartment,62,3,1,1,8,350,0,270000,"['gym', 'kids', 'gourmet', 'playground', 'sports_court', 'party_room', 'play_game', 'green_area']",ready_to_move,-23.62214840,-46.58643980,São Paulo,1580,04240-000,Anny,Rua,81,Sacomã
11ykjpy,apartment,apartment,350,3,2,3,8,2000,1217.05,1480000,"['gym', 'pool', 'playground', 'sports_court', 'party_room', 'play_game', 'green_area']",ready_to_move,-23.62797690,-46.73048470,São Paulo,135,05713-420,Antônio Aggio,Rua,81,Vila Andrade
11ztmhj,apartment,apartment,140,3,0,1,7,1540,410.89,1100000,['green_area'],ready_to_move,-23.56704440,-46.65737420,São Paulo,232,01422-000,Franca,Alameda,71,Jardim Paulista
11zuiif,apartment,apartment,162,3,3,2,4,1975,0,,['green_area'],ready_to_move,-23.58598590,-46.68653820,São Paulo,1666,04533-005,Tabapuã,Rua,42,Itaim Nobre
122uez6,apartment,apartment,40,1,0,1,11,298,0,328600,"['gym', 'kids', 'pool', 'playground', 'sports_court', 'party_room', 'play_game', 'green_area']",ready_to_move,-23.62317280,-46.60760960,São Paulo,628,04165-010,Nossa Senhora das Mercês,Rua,114,Sacomã
